                                                                                                                                                                                      COMMENT,                 LABEL
"Genocide Continues in Southern Cameroon's Ambazonia, while the rest of the world gives a deaf ear to killings by Dictator Paul Biya ",Neutral
"I'm a soldier from Cameroon, 12 yrs service, STOP Paul Biya Now! 43 civilians shot some, burnt; family of 7 and an 8 months old. Genocide genocide! ",Neutral
"I was fortunate to speak with Prof. Maurice Kamto . We discussed the importance of releasing all political prisoners, including Sisiku. He has a bold vision for #Cameroon, ranging from bringing peace to the Anglophone regions, to socioeconomic reform.",Neutral
"If you are from Cameroon, do you feel the delayed parliamentary and municipal elections represent you? ",Neutral
"I was fortunate to speak with Prof. Maurice Kamto . We discussed the importance of releasing all political prisoners, including Sisiku. He has a bold vision for #Cameroon, ranging from bringing peace to the Anglophone regions, to socioeconomic reform.",Neutral
"If you are from Cameroon, do you feel the delayed parliamentary and municipal elections represent you? ",Neutral
"Happy feast day to our sister college ??????. Arguably the best all girls secondary school in Cameroon ????. The rest come in any order ... 
Enjoy",Neutral
"Today I wanted to fast for Myself, my fam, and Cameroon in general but gave up around 12pm when I saw my shadow eatx fish pie while drinking top ????
Good night",Neutral
We were going to do a survey in one village and our car got missing in a pothole and they think the only problem in this country are blackouts?,Neutral
"If u r an upcoming artist in Cameroon, Do not accept to be signed into a lable. I repeat Do Not Accept to be Signed into a Lable. They will only suck out ur shine and leave u dry, though they pay u well. There are so many examples out there.",Neutral
Remember there has always existed a Southern Cameroons. There has always been TWO(2) Cameroon's. There always will be a #SouthernCameroons(#Ambazonia). It is in our right to choose freedom over oppression.  History is our shadow that we cannot run away from.,Neutral
"Brief!
Soldiers set houses on fire in Bamendakwe

Six houses have been razed to ashes in Bamendankwe in the North West region. 

Residents say the action was carried out by members of the Cameroon military who early today, engaged a serious gunfight against Ambazonian fighters.",Neutral
" love the way cameroon is becoming famous on twitter and the way we distinguish ourselves by adding the 237 flag ????
@bkclaud
 
@adekelly03
 
@SustainClo
 
@iam_njoku
 
@CjInfluenceur
 
@Eneo237
 
@yemargent
 
@Chicherito237
 y�all keep up the good work ..share until this goes far...love y�all",Neutral
"Cameroon! #Ambazonia! What do you want out of the #elections today? DM me a 30 second video and we may feature you on Al Jazeera. 

We will NOT use your video if it's more than 30 seconds. Please hold your phone horizontally and film in a quiet place.",Neutral
I'm raising money for Please help the people of Southern Cameroon.. Click to Donate,Neutral
French Cameroon barbarism is unacceptable,Neutral
French #Cameroon forces in Mendakwen this morning burnt alive our people in their homes.This is genocide.Why is @UN silent? ,Neutral
"#Cameroon genocidal actions take another level. Forces loyal to Paul Biya have invaded Ngarbu,Donga Mantung.They murder an entire family, father, his pregnant wife and all the children.Reports say 22 dead bodies have been discovered.",Neutral
"From the halls of Congress to the White House, the story of #Cameroon was heard in Washington this week. I�m honored to have spent this time with Maurice Kamto, the country�s pro-democracy leader who has literally put his life on the line to advance change. We need more like him",Neutral
Cameroon has been ranked the 3rd best English speaking country in Africa after Kenya n south Africa. If not for banso/nkambe (my village) pipo we would've been the 1st,Neutral
"Happy Youth Day Cameroon! 

A bit of history. Feb 11th celebrated as Plebiscite Day when Southern Cameroons voted for reunification, becoming State of West Cameroon. Its Prime Minister decided in 1962 to dedicate this day to the youth. Federal govt later adopted for all Cameroon.",Neutral
"Thanks mama...same to you too
On dit que la jeunesse c est de 7 a 77ans!! ????????????",Neutral
Thank you Mrs Enonchong for relating this wonderful part of the history of our lovely country,Neutral
"Ambazonian Interim Government declared lockdown widely respected as all offices, shops are closed and activities are grounded. They say no elections in #",Neutral
"Douala People there will be no power on the 14th, if you want to fornicate you will have to do it in the heat. Since you people want hell fire rehearsals.",Neutral
"Ambazonians in Southern Cameroon yesterday 9th Feb, voted in a mock referendum in one precinct county to leave La Republique of Cameroon and it turned out that 99,.9% voted YES for Amba Exit",Neutral
"I enjoyed meeting pro-democracy leader 
@KamtoOfficiel
, who was unjustly imprisoned for challenging Cameroon�s long-term president in an election. I am concerned about recent threats to his safety & am vigilantly keeping watch for his safe return to Cameroon to continue his work.",Neutral
"#Cameroon Some civilians were roast alive in their hiding, Mr Seka, his five children and pregnant wife were all killed. A family from Sehn who went farming were all murdered. Government Forces have been in Ntumbaw since Sunday Feb 9 where they forced civilians to vote.",Neutral
"EVEN MY FOOD REFLECTS MY PATRIOTISM!
MY PEOPLE, DO YOU SEE FRANCO-FROG OR ANGLO-FOU WITHIN OR IN BETWEEN THESE SACRED COLORS?

LET US STAND STRANGERS�",Neutral
"Case of the 22 civilians killed in the North West, including women and babies
Realizing the consequences of this tragic case

The emperor Biya urgently calls the Minister of Defense Joseph beti assomo, General nka nka and General brigade (both military officials newly installed in this area) to explain themselves to to",Neutral
It is not by invasive the mrc that you will kill the vision of the Renaissance of Cameroon. Renaissance is the people and not bitter,Neutral
"French Camerounese politician and Law Professor Mr Maurice kamto clocks 66 years today! on behalf of this platform,i extend my best wishes to this extraordinary and exceptional Camerounese and African of this age and generation.happy birthday Professor Maurice kamto",Neutral
"This song gives goosebumps. No need to understand the lyrics, the clip is explicit enough. And the tears of these children",Neutral
"I tell you all the time... the are great men, not because I married Indira xaverie atemengue a mvog atemengue, no the are great. Give this country to a ewondo you will see miracles. Thank you my brother-in-law the beloved MARCEL ATANGANA, man of value beti. True man.",Neutral
"You don't see the physical suffering we put through to other Cameroonian people who are unworthy of there bad government, embezzlement of the CAN 2019 and English-speaking genocide, prisons are full of prisoners never judged you say anything.. Who is Obama Obama??",Neutral
"NO TO VIOLENCE!
It's not a �kans they attacked but a bootlegger of hate. Jean de god Momo would suffer the same fate if he were there",Neutral
Lrc-selective outrage is the identity of haters in the soul and flesh; an expression of the mental misery.,Neutral
"�Mother and child is priority as the road map of the health sector is concerned�, Dr. Nsame Denis, Director of the Regional Hospital Bamenda remarks at the re-opening ceremony of the renovated Neonatology ward.

The birth of a baby is a wonderful and very complex process. Many physical and emotional changes occur for both mother and baby. A baby must make many physical adjustments to life outside the mother's body.

The neonatal intensive care unit of the Regional hospital Bamenda has been given a facelift to better manage the mothers and their babies who come there. At the reopening ceremony the Director of the Regional Hospital Bamenda, Dr. Nsame Denis in his opening remark said �few months after taking up service ",Neutral
Youth day in Bamenda despite the called for lockdowns,Neutral
"LAND FOR SALE
Up Station Bamenda Cameroon
Above Hot-spot junction
Measuring 25m by 20m (500m�)

Price 5 million F
Site visitation: Terms And conditions Apply",Neutral
" soldier has been killed in Bamenda.

The soldier was reportedly shot dead authorities say by Ambazonian fighters around Government Bilingual High School, Atiela.

His girlfriend is said to have also been seriously wounded. ""His weapon and cartridges taken away by the assailants,"" a security source said.",Neutral
"Heavy Casualties Recorded As Military Storms Ngar, At Least 25 Killed

A source said: ""a pregnant woman was stabbed as well, she was rushed to the hospital, but she could not make it as she was pierced in the stomach"".",Neutral
"In order to silence opposition voice: Biya to appoint key MRC leaders in expected new government

The Cameroon Renaissance Movement political party of Prof Maurice Kamto says it has information, of attempts by the Biya regime to buy over some CRM key officials.

According to a communique released by Alain Fogue, National treasurer of the party, the Yaounde regime is in an attempt to buy the consciences of some CRM officials by propsing them ministerial appointments in a new government, known as an enlarge government.",Neutral
"A man has been found dead in Tatum, in the Bui Division, North West region.

""He was taken by the military some day ago this morning he was found dead"" a source says.",Neutral
Another act of gratuitous violence in Anglophone Cameroon where Ambaboys reportedly recorded executing a woman who they accused of being a military informant,Neutral
" Anglophone Crisis: Population Rise Up Against Amba Boys In Pinyin (North West): The population of neighbourhood in Pinyin, Santa subdivision of the North West on Monday, May 13",Neutral
"The Amba Boys won the hearts of the people. They were respected, admired, revered as the courageous of all.

It was an excitement to meet them. Many felt safe in areas controlled by them. ",Neutral
"Extraordinary to watch how within four years Ambazonia and Ambaboys went from obscure terms that reflected vaguely constructed concepts of identity to concrete movements able to mobilise thousands of people to fight, die and kill in a brutal insurgency",Neutral
"South West toughens stance on Anglophone crisis

Demand more troops to counter rising separatist incursions

Some Elites of the South West region, majority from CPDM, have called on the government to increase the number of troops fighting in the region. The request according to them is to secure the socio-economic and political life of the region, currently experiencing dwindling fortune.

The call was made at the Buea Mountain hotel conference room Saturday during the South West forum, held on the theme, �The South West Region, Facing Our Challenges Together.�

During the in camera meeting, the Elites said there have been remarkable progress in the region in domains like, infrastructure such as; road construction, stadia, hotels, hospitals among others.

They also said a lot has been done in improving standards and numbers in secondary and tertiary institutions.

They however lamented that these progress has witness setbacks in the past two years as results of the Anglophone crisis because �There have been burning of educational and health structures through violence, prevention of students and teachers from attending classes, frustration of construction works, disruption of activities of Cameroon Development Corporation, CDC, Pamol plantations, killing, maiming, abductions of chiefs, businessmen and women, civil servants, security men, desecration of shrines, burning and looting of chief palaces by armed men who are hiding in bushes and causing terror.

Attendees at the South West Forum resolved as follows:

Called on sons and daughters of the region to realize the harm inflicted on their fathers, mothers, brothers and sisters and stop all activities that will disturb the peace of the region.

Called on all those fighting to lay down arms, leave bushes and forest and regain their homes and live as South Westerners.

Called on all those not from South West to desist from using the region as area of wicked acts (battle ground), to lay down arms and live peacefully with the people of the region.

Called on the Population of South West to send children back to school and not to heed to fear.
Called on the people to constitute vigilante groups supported by State and say no to bully of misguided terrorists.

Say no to impoverishment of region and protect economic institutions under supervision of the State.

Exhort those in Diaspora to transcend passion and allow reason to prevail.

At the end of the meeting, the Elites said at no time did they ever ask for Federalism or Secession. They maintained that Cameroon remains one, indivisible and a decentralize nation.

They also urged the government to increase the number of forces in the region to maintain peace.

This forum, almost a replica of the August 23, 1993 meeting held between South West Chiefs and Elites, did not condemn killings and atrocities committed by the military but ironically called on more troops into the region.

The tone of the final decision speaks volume;

All those perpetrating violence are not from the South West.

All the killings have been done by Ambazonia fighters

Strangers, though they did not want to use �Cam No Go� and or �Graffi�, are the ones retarding the development of the region.

They are a separate region and have nothing to do with North West region (though not mentioned)

Despite the crisis and the ills of the government, they are happy and that Federalism cannot be compared with the most cherished decentralization, talk less of secession",Neutral
